,f1,收盘价,今日涨幅,价格变动,成交量,成交额,f7,换手,f9,量比,f11,代号,f13,名字,今日最高价,今日最低价,今日开盘价,昨天收盘价,总市值,流通市值,f22,市净率,f24,f25,主力净流入,市盈率,f128,f140,f141,f136,f152,股息率
0,2.0,20.72,43.99,6.33,435.0,895912.0,23.97,0.09,28.79,0.0,0.0,002962.SZ,0.0,N五方,20.72,17.27,17.27,14.39,4177152000.0,1044288000.0,0.0,2.7,43.99,43.99,626821.0,28.29,0.0,0.0,0.0,0.0,2.0,0.0
1,2.0,4.7,10.07,0.43,41085.0,19096997.0,5.62,0.47,-23.18,1.87,0.0,600896.SH,1.0,览海投资,4.7,4.46,4.5,4.27,4084765653.0,4084765653.0,0.0,2.45,-7.3,24.67,8806747.0,-167.41,0.0,0.0,0.0,0.0,2.0,0.0
2,2.0,4.81,10.07,0.44,975438.0,461222832.0,9.15,14.78,20.15,8.39,0.0,300067.SZ,0.0,安诺其,4.81,4.41,4.45,4.37,4491724051.0,3175003415.0,0.0,2.74,1.26,28.95,31274372.0,30.07,0.0,0.0,0.0,0.0,2.0,0.0
3,2.0,11.83,10.05,1.08,280201.0,318451920.0,10.88,23.83,73.59,2.77,0.0,300275.SZ,0.0,梅安森,11.83,10.66,11.02,10.75,1988788620.0,1391066963.0,0.0,3.74,8.33,56.9,70471040.0,-34.14,0.0,0.0,0.0,0.0,2.0,0.0
4,2.0,9.64,10.05,0.88,531556.0,512414800.0,0.46,12.63,227.8,1.28,0.0,300448.SZ,0.0,浩云科技,9.64,9.6,9.64,8.76,6679669935.0,4058206857.0,0.0,5.21,39.31,59.08,14602217.0,46.87,0.0,0.0,0.0,0.0,2.0,0.0
5,2.0,9.21,10.04,0.84,548834.0,484661760.0,13.86,11.96,219.53,2.18,0.0,300368.SZ,0.0,汇金股份,9.21,8.05,8.2,8.37,4899199405.0,4228062744.0,0.0,5.83,18.69,62.43,100032352.0,98.2,0.0,0.0,0.0,0.0,2.0,0.0
6,2.0,6.36,10.03,0.58,175605.0,111513533.0,8.3,7.5,39.87,6.06,0.0,002553.SZ,0.0,南方轴承,6.36,5.88,5.88,5.78,2213280000.0,1490111118.0,0.0,3.25,4.78,27.97,24266809.0,63.71,0.0,0.0,0.0,0.0,2.0,0.0
7,2.0,12.94,10.03,1.18,389442.0,491026928.0,7.57,14.98,63.79,4.88,0.0,300052.SZ,0.0,中青宝,12.94,12.05,12.13,11.76,3406326894.0,3364932572.0,0.0,4.21,16.26,28.37,122121949.0,95.81,0.0,0.0,0.0,0.0,2.0,0.0
8,2.0,15.25,10.03,1.39,460110.0,674241680.0,10.46,7.28,62.45,2.05,0.0,600903.SH,1.0,贵州燃气,15.25,13.8,14.04,13.86,17357321662.0,9633778602.0,0.0,6.49,16.86,1.46,170361110.0,90.84,0.0,0.0,0.0,0.0,2.0,0.0
9,2.0,17.01,10.03,1.55,95417.0,158990733.0,12.87,17.61,46.88,1.58,0.0,002917.SZ,0.0,金奥博,17.01,15.02,15.31,15.46,3077040960.0,921533760.0,0.0,4.56,16.59,21.94,69985265.0,46.4,0.0,0.0,0.0,0.0,2.0,0.0
10,2.0,4.94,10.02,0.45,294237.0,143539030.0,10.69,8.67,-45.33,12.74,0.0,002671.SZ,0.0,龙泉股份,4.94,4.46,4.5,4.49,2333863352.0,1676584263.0,0.0,1.18,3.56,20.49,19599689.0,-18.2,0.0,0.0,0.0,0.0,2.0,0.0
11,2.0,27.13,10.02,2.47,165841.0,447285504.0,4.99,26.41,120.08,3.62,0.0,002819.SZ,0.0,东方中科,27.13,25.9,26.5,24.66,4271188110.0,1703878461.0,0.0,8.77,53.8,69.03,5637416.0,73.6,0.0,0.0,0.0,0.0,2.0,0.0
12,2.0,15.16,10.01,1.38,368181.0,537560304.0,9.29,36.7,44.36,4.05,0.0,002828.SZ,0.0,贝肯能源,15.16,13.88,13.99,13.78,3080552932.0,1520831492.0,0.0,3.2,6.76,30.24,-11464426.0,51.47,0.0,0.0,0.0,0.0,2.0,0.0
13,2.0,24.72,10.01,2.25,158065.0,367569408.0,11.66,20.69,114.2,1.39,0.0,300538.SZ,0.0,同益股份,24.72,22.1,22.35,22.47,3748287865.0,1888570623.0,0.0,8.75,52.31,112.55,21378583.0,120.9,0.0,0.0,0.0,0.0,2.0,0.0
14,2.0,16.81,10.01,1.53,92969.0,153414938.0,10.8,3.43,20.71,5.07,0.0,002911.SZ,0.0,佛燃股份,16.81,15.16,15.21,15.28,9346360000.0,4551977379.0,0.0,3.63,9.8,2.31,57921766.0,26.79,0.0,0.0,0.0,0.0,2.0,0.0
15,2.0,19.78,10.01,1.8,105826.0,201531033.0,10.34,12.13,29.98,3.72,0.0,603080.SH,1.0,新疆火炬,19.78,17.92,18.08,17.98,2798870000.0,1725508300.0,0.0,2.53,3.89,-5.09,19133920.0,28.08,0.0,0.0,0.0,0.0,2.0,0.0
