,f1,f2,今日涨幅,价格变动,成交量,成交额,f7,换手,市盈(动),量比,f11,f12,f13,名字,今日最高价,今日最低价,今日开盘价,昨天收盘价,流通市值,总市值,f22,市净率,f24,f25,主力净流入,市盈率,f128,f140,f141,f136,f152,gxl
2696,2,6.18,-0.48,-0.03,53018,32841666.0,1.45,1.26,20.41,0.57,0.0,600738.SH,1,兰州民百,6.25,6.16,6.23,6.21,4839529794,2603376622,-0.16,2.59,-19.74,50.73,-4419333.0,2.97,-,-,-,-,2,2.5889967637540456
3217,2,8.72,-1.02,-0.09,263531,231625698.0,2.72,1.2,4.92,1.04,-0.11,002110.SZ,0,三钢闽光,8.92,8.68,8.84,8.81,21377744795,19215248617,-0.11,1.24,-0.68,21.28,-15803246.0,3.93,-,-,-,-,2,2.293577981651376
3730,2,9.01,-2.59,-0.24,250982,227767068.0,3.24,1.81,6.18,1.56,0.11,600507.SH,1,方大特钢,9.21,8.91,9.17,9.25,13044411448,12496475056,0.0,2.23,-1.96,8.69,-29726484.0,4.87,-,-,-,-,2,1.8867924528301887
3288,2,4.4,-1.12,-0.05,139565,61600903.0,1.57,0.95,7.11,1.13,0.0,000036.SZ,0,华联控股,4.46,4.39,4.46,4.45,6529309710,6490102538,0.0,1.42,-19.71,16.4,-11411568.0,6.23,-,-,-,-,2,1.3636363636363635
2856,2,11.35,-0.61,-0.07,218829,250578917.0,3.24,0.74,5.2,0.91,0.0,600188.SH,1,兖州煤业,11.65,11.28,11.56,11.42,55751381600,33594632325,0.0,1.03,7.58,37.74,-23476667.0,6.24,-,-,-,-,2,1.3568281938325992
2447,2,32.22,-0.28,-0.09,7873,25454645.0,0.9,1.28,17.45,0.63,0.06,300741.SZ,0,华宝股份,32.48,32.19,32.33,32.31,19843653600,1984429800,0.03,2.8,1.67,19.02,180622.0,16.29,-,-,-,-,2,1.2414649286157666
2670,2,8.52,-0.47,-0.04,28569,24566608.0,3.04,2.27,27.14,1.09,0.0,002843.SZ,0,泰嘉股份,8.71,8.45,8.57,8.56,1789200000,1073520000,0.12,3.19,-6.89,15.6,-2415967.0,31.51,-,-,-,-,2,1.1737089201877935
1920,2,2.8,0.0,0.0,249739,70062798.0,1.43,0.42,9.42,1.43,0.36,600808.SH,1,马钢股份,2.83,2.79,2.8,2.8,21561907321,16709703321,0.0,0.88,-10.26,-11.11,5526383.0,5.89,-,-,-,-,2,1.1071428571428572
2373,2,13.21,-0.23,-0.03,205769,273266288.0,2.49,2.06,24.73,0.51,0.23,603328.SH,1,依顿电子,13.46,13.13,13.26,13.24,13178346475,13178346475,0.0,3.25,37.03,43.59,8056598.0,19.92,-,-,-,-,2,1.0976532929598788
2375,2,4.38,-0.23,-0.01,29630,13031370.0,1.37,0.33,18.69,0.82,0.0,002540.SZ,0,亚太科技,4.43,4.37,4.4,4.39,5564919210,3919805940,0.0,1.21,-11.16,1.86,-258085.0,16.57,-,-,-,-,2,1.096568493150685
