,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f20,f21,f22,f23,f24,f25,f62,f115,f128,f140,f141,f136,f152,gxl
0,2,20.72,43.99,6.33,435,895912.0,23.97,0.09,0.0,-,0.0,002962.SZ,0,N五方,20.72,17.27,17.27,14.39,4177152000,1044288000,0.0,2.7,43.99,43.99,626821.0,28.29,-,-,-,-,2,0.0
2546,2,5.74,-3.04,-0.18,48394,28050333.0,3.72,0.66,0.0,0.56,0.0,002699.SZ,0,美盛文化,5.92,5.7,5.92,5.92,5220947442,4217339891,-0.17,1.73,-9.61,4.74,-2323393.0,-17.77,-,-,-,-,2,0.0
2534,2,4.48,-3.03,-0.14,101398,45716320.0,3.46,1.43,0.0,0.72,0.0,000908.SZ,0,景峰医药,4.61,4.45,4.6,4.62,3941389092,3173015503,0.0,1.56,0.22,0.9,-5127638.0,21.55,-,-,-,-,2,0.0
2535,2,7.04,-3.03,-0.22,56954,40321330.0,4.55,1.43,0.0,1.32,0.0,000756.SZ,0,新华制药,7.28,6.95,7.25,7.26,4377890507,2812445342,0.0,1.59,-2.36,29.17,-1272663.0,15.92,-,-,-,-,2,0.14204545454545456
2536,2,4.16,-3.03,-0.13,73134,30643311.0,3.73,1.68,0.0,0.94,-0.24,000721.SZ,0,西安饮食,4.29,4.13,4.27,4.29,2076072627,1813096251,-0.24,3.2,-5.88,4.79,-3476054.0,-414.1,-,-,-,-,2,0.0
2537,2,15.03,-3.03,-0.47,159810,245361392.0,8.19,3.96,0.0,1.13,-0.4,600523.SH,1,贵航股份,16.17,14.9,15.0,15.5,6076799140,6072790639,-0.27,2.66,1.49,60.41,-12737935.0,65.96,-,-,-,-,2,0.0998003992015968
2538,2,7.03,-3.03,-0.22,181924,129976916.0,4.55,4.54,0.0,0.8,-0.28,601949.SH,1,中国出版,7.33,7.0,7.27,7.25,12812175000,2819068953,-0.28,2.13,8.82,63.87,-20065812.0,17.16,-,-,-,-,2,0.14224751066856328
2539,2,22.36,-3.04,-0.7,64344,144533108.0,4.34,6.92,0.0,0.65,0.04,603602.SH,1,纵横通信,23.0,22.0,23.0,23.06,3506048000,2077656005,0.0,5.11,4.44,13.73,-14375820.0,89.87,-,-,-,-,2,0.026833631484794274
2540,2,5.43,-3.04,-0.17,27622,15138361.0,3.21,0.83,0.0,0.99,0.0,000430.SZ,0,张家界,5.58,5.4,5.56,5.6,2198160035,1801341684,-0.18,1.38,-5.07,12.19,-1468161.0,151.39,-,-,-,-,2,0.0
2541,2,15.32,-3.04,-0.48,287198,443327024.0,5.13,3.17,0.0,0.55,-0.26,300115.SZ,0,长盈精密,15.9,15.09,15.59,15.8,13939059214,13871065071,-0.07,3.22,45.77,89.37,-41953970.0,208.2,-,-,-,-,2,0.06527415143603132
2542,2,3.51,-3.04,-0.11,215707,76188605.0,3.59,0.91,0.0,1.05,0.29,600565.SH,1,迪马股份,3.61,3.48,3.61,3.62,8557296757,8314404757,0.29,1.07,-9.07,51.29,-8085681.0,6.97,-,-,-,-,2,0.7977207977207977
2543,2,9.89,-3.04,-0.31,261801,261836211.0,3.63,2.6,0.0,0.58,-0.4,002100.SZ,0,天康生物,10.2,9.83,10.16,10.2,9941919503,9941919503,-0.3,2.84,17.32,141.22,-28803537.0,34.8,-,-,-,-,2,0.10111223458038422
2544,2,6.38,-3.04,-0.2,43009,27571456.0,3.5,1.2,0.0,0.52,0.0,300432.SZ,0,富临精工,6.55,6.32,6.53,6.58,2773544556,2283524056,-0.16,1.61,-7.13,10.76,-3727413.0,-1.19,-,-,-,-,2,0.0
2545,2,6.38,-3.04,-0.2,202313,130120996.0,3.34,1.38,0.0,1.48,0.0,000528.SZ,0,柳    工,6.58,6.36,6.58,6.58,9417590579,9331533285,0.0,0.95,-7.8,7.77,-33722853.0,11.01,-,-,-,-,2,0.23510971786833856
2547,2,20.4,-3.04,-0.64,13600,28049257.0,2.8,2.5,0.0,1.02,-0.39,603301.SH,1,振德医疗,20.96,20.37,20.94,21.04,2856000000,1111912200,-0.1,2.49,-3.45,-9.05,-2654003.0,20.66,-,-,-,-,2,0.1715686274509804
2532,2,6.4,-3.03,-0.2,101253,65381481.0,3.94,1.17,0.0,1.43,0.0,300055.SZ,0,万邦达,6.62,6.36,6.57,6.6,5537182816,5523834496,-0.31,0.96,-11.36,-16.45,-6049613.0,-45.98,-,-,-,-,2,0.023437499999999997
2548,2,9.56,-3.04,-0.3,150083,144541069.0,3.35,0.58,0.0,0.98,-0.1,002081.SZ,0,金 螳 螂,9.86,9.53,9.86,9.86,25586467067,24686931085,0.0,1.85,-6.0,21.01,-23932918.0,11.41,-,-,-,-,2,0.20920502092050208
2549,2,4.46,-3.04,-0.14,121483,54380320.0,3.7,1.94,0.0,0.97,0.22,002361.SZ,0,神剑股份,4.59,4.42,4.59,4.6,3735580557,2785962857,0.0,2.09,6.95,25.99,-10398742.0,41.39,-,-,-,-,2,0.2242152466367713
2550,2,8.28,-3.04,-0.26,87435,73113459.0,3.51,1.25,0.0,1.12,0.0,000931.SZ,0,中 关 村,8.56,8.26,8.53,8.54,6235891411,5813309746,0.0,3.81,-6.76,19.65,-8270513.0,55.57,-,-,-,-,2,0.0
2551,2,47.13,-3.04,-1.48,92450,440239504.0,3.52,1.57,0.0,1.0,-0.04,600038.SH,1,中直股份,48.79,47.08,48.79,48.61,27782037625,27782037625,0.0,3.62,16.57,27.04,-25263892.0,48.44,-,-,-,-,2,0.05516656057712709
2552,2,14.32,-3.05,-0.45,61640,89000647.0,3.66,8.39,0.0,0.83,0.21,300772.SZ,0,运达股份,14.8,14.26,14.67,14.77,4209507200,1052376800,0.21,2.95,-14.76,119.63,-8541500.0,34.21,-,-,-,-,2,0.0
2553,2,5.09,-3.05,-0.16,129443,66319789.0,4.38,3.18,0.0,1.01,0.39,000711.SZ,0,京蓝科技,5.26,5.03,5.26,5.25,5210469183,2068826428,0.59,1.0,-12.84,-18.3,-8732090.0,537.54,-,-,-,-,2,0.0
2554,2,33.08,-3.05,-1.04,5544,18527534.0,3.37,0.81,0.0,0.89,0.03,603713.SH,1,密尔克卫,34.17,33.02,34.17,34.12,5043839391,2250237030,-0.09,3.79,-7.13,19.94,-1399151.0,31.63,-,-,-,-,2,0.039298669891172915
