,id,concept_name,ts_code,name
0,TS13,安邦系,002405.SZ,四维图新
1,TS59,特斯拉,002405.SZ,四维图新
2,TS84,蔚来汽车概念股,002405.SZ,四维图新
3,TS86,军工研究所,002405.SZ,四维图新
4,TS98,回购,002405.SZ,四维图新
5,TS127,军工,002405.SZ,四维图新
6,TS142,物联网,002405.SZ,四维图新
7,TS153,无人驾驶,002405.SZ,四维图新
8,TS163,雄安-智慧城市,002405.SZ,四维图新
9,TS202,北斗导航,002405.SZ,四维图新
10,TS217,高送转-填权,002405.SZ,四维图新
11,TS225,雄安新区,002405.SZ,四维图新
12,TS239,大数据,002405.SZ,四维图新
13,TS277,国产软件,002405.SZ,四维图新
14,TS291,腾讯概念股,002405.SZ,四维图新
15,TS295,国产芯片,002405.SZ,四维图新
16,TS296,滴滴出行概念股,002405.SZ,四维图新
17,TS297,共享经济,002405.SZ,四维图新
18,TS307,国产操作系统,002405.SZ,四维图新
19,TS313,智慧安防,002405.SZ,四维图新
20,TS315,独角兽,002405.SZ,四维图新
21,TS320,手势识别,002405.SZ,四维图新
