,id,concept_name,ts_code,name
0,TS25,MSCI,600271.SH,航天信息
1,TS80,央企改革,600271.SH,航天信息
2,TS86,军工研究所,600271.SH,航天信息
3,TS127,军工,600271.SH,航天信息
4,TS142,物联网,600271.SH,航天信息
5,TS162,谷歌概念股,600271.SH,航天信息
6,TS204,网络安全,600271.SH,航天信息
7,TS220,数字中国,600271.SH,航天信息
8,TS238,移动支付,600271.SH,航天信息
9,TS239,大数据,600271.SH,航天信息
10,TS261,区块链,600271.SH,航天信息
11,TS266,半导体,600271.SH,航天信息
12,TS268,无人商店,600271.SH,航天信息
13,TS269,智慧城市,600271.SH,航天信息
14,TS291,腾讯概念股,600271.SH,航天信息
15,TS305,电子发票,600271.SH,航天信息
16,TS344,人脸识别,600271.SH,航天信息
