,代码,名称,股息率,送转总比例,送股比例,转股比例,现金分红比例,预案公告日,市场
7865,002478.SZ,常宝股份,0.0669344042838019,10.0,0.0,10.0,10.0,20170307,中小板
7885,600664.SH,哈药股份,0.0628140703517588,0.0,-,-,5.0,20170304,沪市
5805,000876.SZ,新希望,0.0599520383693046,0.0,0.0,-,5.0,20170428,深主板
7005,600383.SH,金地集团,0.0586756077116513,0.0,-,-,7.0,20170401,沪市
7542,000895.SZ,双汇发展,0.055376095985233,0.0,0.0,0.0,12.0,20170323,深主板
6403,601566.SH,九牧王,0.0533617929562433,0.0,-,-,10.0,20170421,沪市
6979,600104.SH,上汽集团,0.0518541797611565,0.0,-,-,16.5,20170406,沪市
6909,600325.SH,华发股份,0.049079754601227,8.0,-,8.0,8.0,20170408,沪市
7337,601288.SH,农业银行,0.0473537604456825,0.0,-,-,1.7,20170329,沪市
8002,000488.SZ,晨鸣纸业,0.0469483568075117,0.0,-,-,6.0,20170218,深主板
5995,000651.SZ,格力电器,0.0451467268623025,0.0,-,-,18.0,20170427,深主板
6622,000625.SZ,长安汽车,0.0450526315789474,0.0,0.0,-,6.42,20170418,深主板
7175,601398.SH,工商银行,0.0447992351816444,0.0,-,-,2.343,20170331,沪市
7803,600398.SH,海澜之家,0.0445454545454545,0.0,-,-,4.9,20170311,沪市
6210,600704.SH,物产中大,0.0444839857651246,5.0,-,5.0,5.0,20170425,沪市
6906,000546.SZ,金圆股份,0.0443262411347518,0.0,0.0,0.0,5.0,20170408,深主板
6990,601988.SH,中国银行,0.0440944881889764,0.0,-,-,1.68,20170401,沪市
7551,600312.SH,平高电气,0.0438917337234821,0.0,-,-,6.0,20170323,沪市
7335,601328.SH,交通银行,0.0438610662358643,0.0,-,-,2.715,20170329,沪市
7408,600066.SH,宇通客车,0.0433839479392625,0.0,-,-,10.0,20170328,沪市
7274,601939.SH,建设银行,0.043167701863354,0.0,-,-,2.78,20170330,沪市
5704,600900.SH,长江电力,0.0427350427350427,0.0,-,-,6.5,20170429,沪市
7233,000541.SZ,佛山照明,0.0427263479145473,0.0,0.0,0.0,4.2,20170330,深主板
7438,600377.SH,宁沪高速,0.0424671385237614,0.0,-,-,4.2,20170327,沪市
7588,600828.SH,茂业商业,0.0417246175243394,0.0,-,-,3.0,20170322,沪市
5812,002016.SZ,世荣兆业,0.0415754923413567,0.0,0.0,0.0,3.8,20170428,中小板
7924,600873.SH,梅花生物,0.0409276944065484,0.0,-,-,3.0,20170228,沪市
7279,600741.SH,华域汽车,0.0407166123778502,0.0,-,-,10.0,20170330,沪市
7239,000726.SZ,鲁泰A,0.040453074433657,0.0,0.0,0.0,5.0,20170330,深主板
6945,002749.SZ,国光股份,0.0402144772117963,0.0,0.0,0.0,30.0,20170407,中小板
6916,600023.SH,浙能电力,0.04,0.0,-,-,2.3,20170408,沪市
7349,002563.SZ,森马服饰,0.0395152792413066,0.0,0.0,0.0,3.75,20170328,中小板
5904,600897.SH,厦门空港,0.0394994133750489,0.0,-,-,10.1,20170427,沪市
5831,000848.SZ,承德露露,0.0386473429951691,0.0,0.0,0.0,4.0,20170428,深主板
7094,002299.SZ,圣农发展,0.0379362670713202,0.0,0.0,0.0,5.0,20170331,中小板
6518,002146.SZ,荣盛发展,0.0378787878787879,0.0,0.0,0.0,4.0,20170420,中小板
6728,600033.SH,福建高速,0.0376884422110553,0.0,-,-,1.5,20170415,沪市
7603,600011.SH,华能国际,0.0375647668393782,0.0,-,-,2.9,20170322,沪市
5809,600578.SH,京能电力,0.0375275938189845,0.0,-,-,1.7,20170428,沪市
