,代码,名称,股息率,送转总比例,送股比例,转股比例,现金分红比例,预案公告日
2658,600738,兰州民百,0.142095914742451,0.0,-,-,16.0,2019
2631,600507,方大特钢,0.122390208783297,0.0,-,-,17.0,2019
1759,2110,三钢闽光,0.112044817927171,5.0,-,5.0,20.0,2019
2328,600808,马钢股份,0.0911764705882353,0.0,-,-,3.1,2019
4,600188,兖州煤业,0.0897666068222621,0.0,-,-,10.0,2019
1937,601003,柳钢股份,0.0859598853868195,0.0,-,-,6.0,2019
2505,300741,华宝股份,0.0855066267635742,0.0,-,-,40.0,2019
2407,36,华联控股,0.0793650793650794,3.0,3.0,-,6.0,2019
1659,718,苏宁环球,0.078125,0.0,-,-,3.0,2019
1925,601636,旗滨集团,0.0757575757575758,0.0,-,-,3.0,2019
2503,600873,梅花生物,0.0728476821192053,0.0,-,-,3.3,2019
626,600019,宝钢股份,0.0722543352601156,0.0,-,-,5.0,2019
2250,600282,南钢股份,0.0717703349282297,0.0,-,-,3.0,2019
1448,2516,旷达科技,0.0710227272727273,0.0,-,-,2.5,2019
634,601566,九牧王,0.0701754385964912,0.0,-,-,10.0,2019
2205,600565,迪马股份,0.0684596577017115,0.0,-,-,2.8,2019
2266,600548,深高速,0.0671077504725898,0.0,-,-,7.1,2019
1115,600395,盘江股份,0.0665557404326123,0.0,-,-,4.0,2019
853,603328,依顿电子,0.0652985074626866,0.0,-,-,7.0,2019
2428,2843,泰嘉股份,0.0652315720808871,5.0,-,5.0,10.0,2019
1961,429,粤高速A,0.0632882882882883,0.0,-,-,5.62,2019
1637,2367,康力电梯,0.0611995104039168,0.0,-,-,5.0,2019
2419,300121,阳谷华泰,0.0609184629803187,0.0,-,-,6.5,2019
2350,2540,亚太科技,0.0607774193548387,0.0,-,-,3.20297,2019
2665,2327,富安娜,0.0601684717208183,0.0,-,-,5.0,2019
2036,631,顺发恒业,0.0600600600600601,0.0,-,-,2.0,2019
2442,600603,广汇物流,0.06,0.0,-,-,3.0,2019
1722,603858,步长制药,0.0596452328159645,3.0,-,3.0,16.14,2019
2649,2756,永兴材料,0.0591715976331361,0.0,-,-,10.0,2019
943,581,威孚高科,0.059142434696895,0.0,-,-,12.0,2019
901,600114,东睦股份,0.0585651537335286,0.0,-,-,4.0,2019
63,603328,依顿电子,0.0585023400936037,0.0,-,-,7.5,2019
2326,600823,世茂股份,0.0584269662921348,0.0,-,-,2.6,2019
1464,2626,金达威,0.0578452639190166,0.0,-,-,8.0,2019
2613,708,大冶特钢,0.0578034682080925,0.0,-,-,8.0,2019
1935,789,万年青,0.0564573041637262,3.0,-,3.0,8.0,2019
2208,656,金科股份,0.0558139534883721,0.0,-,-,3.6,2019
440,2068,黑猫股份,0.0557620817843866,0.0,-,-,3.0,2019
1964,603167,渤海轮渡,0.0557620817843866,0.0,-,-,6.0,2019
1772,603877,太平鸟,0.0556173526140156,0.0,-,-,10.0,2019
1653,2666,德联集团,0.0553014553014553,0.0,-,-,2.66,2019
2171,603156,养元饮品,0.055045871559633,4.0,-,4.0,30.0,2019
2332,2737,葵花药业,0.0549450549450549,0.0,-,-,10.0,2019
2410,780,平庄能源,0.0549450549450549,0.0,-,-,2.0,2019
709,601006,大秦铁路,0.0547945205479452,0.0,-,-,4.8,2019
1040,2016,世荣兆业,0.0547645125958379,0.0,-,-,5.0,2019
2070,600971,恒源煤电,0.0542328042328042,2.0,-,2.0,4.1,2019
1980,2238,天威视讯,0.0538213132400431,0.0,-,-,5.0,2019
1840,600016,民生银行,0.0535714285714286,0.0,-,-,3.45,2019
94,600177,雅戈尔,0.0535331905781585,4.0,-,4.0,5.0,2019
245,2335,科华恒盛,0.0531632110579479,0.0,-,-,10.0,2019
2424,2884,凌霄泵业,0.0528169014084507,6.0,-,6.0,15.0,2019
936,600153,建发股份,0.0527426160337553,0.0,-,-,5.0,2019
1433,603699,纽威股份,0.0522620904836194,0.0,-,-,6.7,2019
1993,600742,一汽富维,0.051063829787234,0.0,-,-,6.0,2019
923,601567,三星医疗,0.0503355704697987,0.0,-,-,3.0,2019
1789,600188,兖州煤业,0.0503261882572227,0.0,-,-,5.4,2019
489,600897,厦门空港,0.0499609679937549,0.0,-,-,12.8,2019
866,600309,万华化学,0.049825610363727,0.0,-,-,20.0,2019
1719,600104,上汽集团,0.0493537015276146,0.0,-,-,12.6,2019
127,601328,交通银行,0.0490196078431373,0.0,-,-,3.0,2019
807,2900,哈三联,0.0489089541008277,0.0,-,-,6.5,2019
679,2042,华孚时尚,0.0487485062240664,0.0,-,-,3.524517,2019
755,601169,北京银行,0.0486394557823129,0.0,-,-,2.86,2019
2411,600688,上海石化,0.0485436893203883,0.0,-,-,2.5,2019
1995,726,鲁泰A,0.0484496124031008,0.0,-,-,5.0,2019
2031,600350,山东高速,0.047939262472885,0.0,-,-,2.21,2019
2265,601158,重庆水务,0.0478632478632479,0.0,-,-,2.8,2019
2616,2632,道明光学,0.0478142076502732,0.0,-,-,3.5,2019
1681,2146,荣盛发展,0.0477707006369427,0.0,-,-,4.5,2019
1277,2003,伟星股份,0.0474898236092266,0.0,-,-,3.5,2019
389,300230,永利股份,0.0474806201550388,0.0,-,-,2.45,2019
1775,601988,中国银行,0.0474226804123711,0.0,-,-,1.84,2019
607,2763,汇洁股份,0.0472689075630252,0.0,-,-,4.5,2019
926,601098,中南传媒,0.0472501936483346,0.0,-,-,6.1,2019
325,600919,江苏银行,0.0471567267683772,0.0,-,-,3.4,2019
1435,600348,阳泉煤业,0.0471380471380471,0.0,-,-,2.8,2019
1203,600790,轻纺城,0.0469973890339426,0.0,-,-,1.8,2019
2240,600028,中国石化,0.0469314079422383,0.0,-,-,2.6,2019
52,2128,露天煤业,0.0468933177022274,0.0,-,-,4.0,2019
1623,2206,海利得,0.0468384074941452,0.0,-,-,2.0,2019
1054,2088,鲁阳节能,0.0467625899280576,0.0,-,-,6.5,2019
157,600383,金地集团,0.0467289719626168,0.0,-,-,6.0,2019
1139,603900,莱绅通灵,0.0467289719626168,0.0,-,-,6.0,2019
1013,2713,东易日盛,0.0465854949708841,6.0,-,6.0,8.8,2019
1860,600741,华域汽车,0.0464601769911504,0.0,-,-,10.5,2019
182,300082,奥克股份,0.0463347164591978,0.0,-,-,3.35,2019
940,983,西山煤电,0.0462962962962963,0.0,-,-,3.0,2019
1877,488,晨鸣纸业,0.046242774566474,0.0,-,-,2.4,2019
1336,600596,新安股份,0.046207497820401,0.0,-,-,5.3,2019
554,620,新华联,0.0460829493087558,0.0,-,-,2.0,2019
2235,603118,共进股份,0.0457343887423043,0.0,-,-,5.2,2019
1815,601288,农业银行,0.0455235602094241,0.0,-,-,1.739,2019
105,989,九芝堂,0.0454029511918275,0.0,-,-,4.0,2019
1721,778,新兴铸管,0.0452488687782805,0.0,-,-,2.0,2019
674,600743,华远地产,0.0449438202247191,0.0,-,-,1.2,2019
165,601009,南京银行,0.0448,0.0,-,-,3.92,2019
2675,2536,飞龙股份,0.0447227191413238,5.0,-,5.0,5.0,2019
1545,603444,吉比特,0.0446967326688419,0.0,-,-,100.0,2019
2089,600337,美克家居,0.0442477876106195,0.0,-,-,2.0,2019
2573,300204,舒泰神,0.0441261690885073,0.0,-,-,6.680702,2019
1528,2004,华邦健康,0.0437375745526839,0.0,-,-,2.2,2019
1082,600033,福建高速,0.043731778425656,0.0,-,-,1.5,2019
1323,600704,物产中大,0.043630017452007,0.0,-,-,2.5,2019
972,600606,绿地控股,0.0435413642960813,0.0,-,-,3.0,2019
2594,2014,永新股份,0.0433705080545229,0.0,-,-,3.5,2019
2447,848,承德露露,0.0433369447453954,0.0,-,-,4.0,2019
2075,600985,淮北矿业,0.0431406384814495,0.0,-,-,5.0,2019
1434,600376,首开股份,0.0431034482758621,0.0,-,-,4.0,2019
1886,2688,金河生物,0.0430292598967298,0.0,-,-,2.5,2019
2019,601298,青岛港,0.0429524886877828,0.0,-,-,3.797,2019
1531,2802,洪汇新材,0.0427350427350427,0.0,-,-,10.0,2019
2286,601088,中国神华,0.0426977195536148,0.0,-,-,8.8,2019
1776,600801,华新水泥,0.0425768233987412,4.0,-,4.0,11.5,2019
1744,600398,海澜之家,0.0423634336677815,0.0,-,-,3.8,2019
2010,601398,工商银行,0.0422596964586847,0.0,-,-,2.506,2019
2434,898,鞍钢股份,0.0422264875239923,3.0,-,3.0,2.2,2019
284,603788,宁波高发,0.0421052631578947,0.0,-,-,6.0,2019
2244,600377,宁沪高速,0.0420860018298262,0.0,-,-,4.6,2019
1870,157,中联重科,0.0420168067226891,0.0,-,-,2.5,2019
1758,69,华侨城A,0.041958041958042,0.0,-,-,3.0,2019
98,603198,迎驾贡酒,0.0419412822049131,0.0,-,-,7.0,2019
1026,600683,京投发展,0.0419287211740042,0.0,-,-,2.0,2019
1416,544,中原环保,0.0418060200668896,0.0,-,-,2.5,2019
513,600025,华能水电,0.0416861826697892,0.0,-,-,1.78,2019
2549,601155,新城控股,0.0415167450871852,0.0,-,-,15.0,2019
2321,600585,海螺水泥,0.0414622178606477,0.0,-,-,16.9,2019
2118,601939,建设银行,0.0413513513513513,0.0,-,-,3.06,2019
1626,2101,广东鸿图,0.0411764705882353,0.0,-,-,3.15,2019
1470,600327,大东方,0.0411522633744856,2.0,-,2.0,2.0,2019
2170,2674,兴业科技,0.0410958904109589,0.0,-,-,6.0,2019
319,600236,桂冠电力,0.0409836065573771,3.0,3.0,-,2.5,2019
1266,600527,江南高纤,0.0409836065573771,0.0,-,-,1.0,2019
2113,39,中集集团,0.0409530900967982,2.0,-,2.0,5.5,2019
1483,600479,千金药业,0.0409416581371546,0.0,-,-,4.0,2019
885,600261,阳光照明,0.0408719346049046,0.0,-,-,1.5,2019
1674,2043,兔宝宝,0.0407830342577488,0.0,-,-,2.5,2019
