,市场,代码,名称,送转总比例,送股比例,转股比例,现金分红比例,股息率(%),预案公告日,预案公告日HSRZF,股权登记日QSRZF,股权登记日,除权除息日,除权除息日HSSRZF,YCQTS,总股本(亿）,每股收益(元),每股净资产(元),每股公积金(元),每股未分配利润(元),净利润同比增长(%),报告期,业绩披露日期,方案进度,分配计划,RowNum,EITIME,EUTIME,NOTICEDATE,Iskcb
0,深主板,000718,苏宁环球,2.0,1.0,1.0,1.2,0.0145278450363196,2011-04-20T00:00:00,-4.8299,10.7239,2011-07-04T00:00:00,2011-07-05T00:00:00,14.0865,2994.0,1702660468.0,0.45,2.09080655,0.176368,0.809117,8.0664,2010-12-31T00:00:00,2011-04-20T00:00:00,实施分配,"10送1.00转1.00派1.20元(含税,扣税后0.98元)",18153,2012-07-13T14:16:53,2014-03-31T17:41:32,2011-06-28T00:00:00,
1,中小板,002203,海亮股份,0.0,0.0,0.0,1.2,0.00781758957654723,2011-04-20T00:00:00,-15.0802,7.7193,2011-07-05T00:00:00,2011-07-06T00:00:00,-9.2398,2993.0,400100000.0,0.592,3.87,1.077813,1.737863,35.0215,2010-12-31T00:00:00,2011-04-21T00:00:00,实施分配,"10派1.20元(含税,扣税后1.08元)",18150,2012-07-13T14:17:53,2014-03-31T17:41:33,2011-06-29T00:00:00,
2,中小板,002327,富安娜,0.0,0.0,0.0,7.0,0.0155693950177936,2011-04-20T00:00:00,6.1337,13.8228,2011-07-05T00:00:00,2011-07-06T00:00:00,18.3262,2993.0,133900000.0,0.95,8.35,5.237546,1.876809,48.3739,2010-12-31T00:00:00,2011-04-20T00:00:00,实施分配,"10派7.00元(含税,扣税后6.30元)",18146,2012-07-13T14:02:01,2014-03-31T17:41:26,2011-06-30T00:00:00,
3,中小板,002323,*ST百特,0.0,0.0,0.0,3.0,0.011783189316575,2011-04-20T00:00:00,-10.0111,10.8402,2011-07-05T00:00:00,2011-07-06T00:00:00,-10.8868,2993.0,82760000.0,0.6473,10.16,7.061457,1.827276,-18.1483,2010-12-31T00:00:00,2011-04-20T00:00:00,实施分配,"10派3.00元(含税,扣税后2.70元)",18143,2012-07-13T14:18:02,2014-03-31T17:41:35,2011-06-29T00:00:00,
4,沪市,600742,一汽富维,0.0,0.0,0.0,3.0,0.00961846745751843,2011-04-20T00:00:00,-16.0205,9.1323,2011-07-06T00:00:00,2011-07-07T00:00:00,-14.3553,2992.0,211523400.0,2.7,10.33,2.597274,5.021863,60.8419,2010-12-31T00:00:00,2011-04-20T00:00:00,实施分配,"10派3.00元(含税,扣税后2.70元)",18122,2012-07-13T14:01:52,2014-03-31T17:41:27,2011-06-30T00:00:00,
5,沪市,600674,川投能源,0.0,0.0,0.0,0.36,0.00249480249480249,2011-04-20T00:00:00,-1.4148,-2.8283,2011-07-12T00:00:00,2011-07-13T00:00:00,-12.1668,2986.0,932921505.0,0.365,5.92,3.586605,0.944919,98.2739,2010-12-31T00:00:00,2011-04-20T00:00:00,实施分配,"10派0.36元(含税,扣税后0.324元)",18070,2012-07-13T14:00:56,2014-03-31T17:41:27,2011-07-07T00:00:00,
6,中小板,002346,柘中股份,0.0,0.0,0.0,1.0,0.00410846343467543,2011-04-20T00:00:00,-3.3498,10.5359,2011-07-15T00:00:00,2011-07-18T00:00:00,-7.6605,2981.0,135000000.0,0.3,6.76,4.601068,0.991724,-23.065,2010-12-31T00:00:00,2011-04-20T00:00:00,实施分配,"10派1.00元(含税,扣税后0.90元)",18033,2012-07-13T14:18:46,2014-03-31T17:41:36,2011-07-11T00:00:00,
7,沪市,600639,浦东金桥,0.0,0.0,0.0,1.0,0.0105485232067511,2011-04-20T00:00:00,-7.8067,-0.5247,2011-08-15T00:00:00,2011-08-16T00:00:00,-14.8387,2952.0,928825040.0,0.5702,3.9609,0.892708,1.631913,47.0556,2010-12-31T00:00:00,2011-04-20T00:00:00,实施分配,"10派1.00元(含税,扣税后0.90元)",17960,2012-07-13T14:18:16,2014-03-31T17:41:36,2011-08-10T00:00:00,
8,创业板,300135,宝利国际,10.0,0.0,10.0,6.0,0.0155440414507772,2011-04-19T00:00:00,-8.7529,-3.1368,2011-05-20T00:00:00,2011-05-23T00:00:00,-6.0712,3037.0,80000000.0,1.21,12.37,9.0407,2.110917,31.6571,2010-12-31T00:00:00,2011-04-19T00:00:00,实施分配,"10转10.00派6.00元(含税,扣税后5.40元)",18770,2012-07-13T14:01:48,2014-03-31T17:41:27,2011-05-17T00:00:00,
9,中小板,002385,大北农,0.0,0.0,0.0,2.5,0.00769704433497537,2011-04-19T00:00:00,-5.1038,-1.6056,2011-05-24T00:00:00,2011-05-25T00:00:00,8.4409,3035.0,400800000.0,0.82,7.69,5.048085,1.499563,11.6501,2010-12-31T00:00:00,2011-04-19T00:00:00,实施分配,"10派2.50元(含税,扣税后2.25元)",18738,2012-07-13T14:00:59,2014-03-31T17:41:27,2011-05-18T00:00:00,
