,市场,代码,名称,送转总比例,送股比例,转股比例,现金分红比例,股息率(%),预案公告日,预案公告日HSRZF,股权登记日QSRZF,股权登记日,除权除息日,除权除息日HSSRZF,YCQTS,总股本(亿）,每股收益(元),每股净资产(元),每股公积金(元),每股未分配利润(元),净利润同比增长(%),报告期,业绩披露日期,方案进度,分配计划,最新公告日期
0,沪市,603980,吉华集团,0.0,-,-,2.5,0.015527950310559,2018-04-27T00:00:00,4.522,2.8097,2018-07-04T00:00:00,2018-07-05T00:00:00,-10.4597,436.0,500000000.0,0.883,7.94203411,3.099346,3.475557,3.9608,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派2.50元(含税,扣税后2.25元)",2018-06-29T00:00:00
1,中小板,002095,生意宝,0.0,0.0,0.0,0.5,0.00148632580261593,2018-04-27T00:00:00,4.1263,5.9861,2018-07-05T00:00:00,2018-07-06T00:00:00,-9.3647,435.0,252720000.0,0.08,3.27648685,1.290401,0.820754,51.9026,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.50元(含税,扣税后0.45元)",2018-06-30T00:00:00
2,沪市,603160,汇顶科技,0.0,-,-,6.0,0.00885216878135143,2018-04-27T00:00:00,-22.341,5.1831,2018-07-05T00:00:00,2018-07-06T00:00:00,4.8389,435.0,456910757.0,1.95,7.67351726,2.804973,4.35031,3.5151,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派6.00元(含税,扣税后5.40元)",2018-06-29T00:00:00
3,创业板,300644,南京聚隆,0.0,-,-,3.0,0.00629590766002099,2018-04-27T00:00:00,3.1279,-5.7742,2018-07-05T00:00:00,2018-07-06T00:00:00,-21.871,435.0,64000000.0,1.1757,8.83,1.551765,5.410348,-28.2571,2017-12-31T00:00:00,-,实施分配,"10派3.00元(含税,扣税后2.70元)",2018-06-28T00:00:00
4,沪市,600295,鄂尔多斯,0.0,-,-,1.0,0.0119331742243437,2018-04-27T00:00:00,6.8506,-5.6306,2018-07-05T00:00:00,2018-07-06T00:00:00,10.4192,435.0,1032000000.0,0.5,7.59304462,1.358644,4.51219,96.1236,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派1.00元(含税,扣税后0.90元)",2018-07-02T00:00:00
5,中小板,002319,乐通股份,0.0,-,-,0.162,0.00112578179291174,2018-04-27T00:00:00,-0.9327,-0.1388,2018-07-05T00:00:00,2018-07-06T00:00:00,12.069,435.0,200000000.0,0.05,2.45526183,0.518757,0.683655,1107.6597,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.162元(含税,扣税后0.1458元)",2018-06-29T00:00:00
6,深主板,000903,云内动力,0.0,-,-,0.45,0.0179282868525896,2018-04-27T00:00:00,1.0135,1.2097,2018-07-06T00:00:00,2018-07-09T00:00:00,2.7778,432.0,1970800857.0,0.149,2.75849243,1.188665,0.408257,18.2669,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.45元(含税,扣税后0.405元)",2018-06-29T00:00:00
7,沪市,603035,常熟汽饰,0.0,-,-,2.46,0.0171070931849791,2018-04-27T00:00:00,2.2957,6.7558,2018-07-09T00:00:00,2018-07-10T00:00:00,-1.9217,431.0,280000000.0,0.81,7.99673816,4.06036,2.631915,0.5702,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派2.46元(含税,扣税后2.214元)",2018-07-04T00:00:00
8,中小板,002397,梦洁股份,0.0,-,-,0.6,0.0127659574468085,2018-04-27T00:00:00,-23.219,-1.2605,2018-07-10T00:00:00,2018-07-11T00:00:00,1.7429,430.0,779764760.0,0.07,2.60170383,0.955938,0.520517,-47.2991,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.60元(含税,扣税后0.54元)",2018-07-04T00:00:00
9,深主板,000605,渤海股份,4.0,-,4.0,0.5,0.00335570469798658,2018-04-27T00:00:00,-2.8265,5.3748,2018-07-10T00:00:00,2018-07-11T00:00:00,-9.761,430.0,251899000.0,0.46,8.0871805,5.208148,1.68516,165.9207,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10转4.00派0.50元(含税,扣税后0.45元)",2018-07-04T00:00:00
10,沪市,601212,白银有色,0.0,-,-,0.11,0.00272277227722772,2018-04-27T00:00:00,0.5445,0.7481,2018-07-10T00:00:00,2018-07-11T00:00:00,-0.5038,430.0,6972965867.0,0.035,1.48664587,0.486746,0.417526,-4.8481,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派0.11元(含税,扣税后0.099元)",2018-07-04T00:00:00
11,沪市,603589,口子窖,0.0,-,-,7.5,0.0124958347217594,2018-04-27T00:00:00,23.6825,-6.3651,2018-07-10T00:00:00,2018-07-11T00:00:00,-15.3364,430.0,600000000.0,1.86,8.47455706,1.628137,5.247096,42.146,2017-12-31T00:00:00,2018-04-27T00:00:00,实施分配,"10派7.50元(含税,扣税后6.75元)",2018-07-05T00:00:00
