,codes,gxl
7,000981.SZ,0.45454545454545453
2,600507.SH,0.19300361881785286
5,002110.SZ,0.19011406844106465
2842,002749.SZ,0.18726591760299627
215,002749.SZ,0.18726591760299627
15,600516.SH,0.1851851851851852
3,000635.SZ,0.15810276679841895
81,002713.SZ,0.13205282112845138
48,000488.SZ,0.1301518438177874
4,600664.SH,0.1256281407035176
226,002435.SZ,0.12106537530266345
191,603025.SH,0.1146788990825688
2860,603025.SH,0.1146788990825688
338,600028.SH,0.11244979919678713
20,600028.SH,0.11244979919678713
6,000036.SZ,0.11185682326621925
643,603766.SH,0.1111111111111111
33,603766.SH,0.1111111111111111
959,300403.SZ,0.111003861003861
13,300403.SZ,0.111003861003861
2802,300176.SZ,0.11047070124879924
1434,300176.SZ,0.11047070124879924
84,600816.SH,0.10940919037199125
8,000631.SZ,0.1083916083916084
645,300547.SZ,0.10799136069114472
246,603809.SH,0.10741138560687431
18,002516.SZ,0.10676156583629892
405,002516.SZ,0.10676156583629892
831,600240.SH,0.10638297872340427
9,603355.SH,0.1047846889952153
1796,603355.SH,0.1047846889952153
71,603926.SH,0.10240427426536063
12,601003.SH,0.09960159362549802
55,600090.SH,0.097799511002445
130,600090.SH,0.097799511002445
532,002367.SZ,0.09664948453608248
1,002367.SZ,0.09664948453608248
195,002601.SZ,0.09369866926070039
45,002601.SZ,0.09369866926070039
62,300625.SZ,0.09342301943198804
125,300382.SZ,0.0929368029739777
52,002016.SZ,0.09207161125319693
415,002818.SZ,0.0912863070539419
364,002818.SZ,0.0912863070539419
22,300512.SZ,0.09115770282588878
282,603157.SH,0.09108527131782945
1151,603157.SH,0.09108527131782945
245,603156.SH,0.09009009009009009
34,601636.SH,0.08875739644970415
680,300421.SZ,0.08866238461538462
325,300421.SZ,0.08866238461538462
17,601566.SH,0.08849557522123894
66,002503.SZ,0.08658008658008658
322,600114.SH,0.08576329331046313
563,600114.SH,0.08576329331046313
94,603858.SH,0.08544203282159873
531,300668.SZ,0.0847936687394008
205,000736.SZ,0.0832
429,002790.SZ,0.08064516129032258
109,600808.SH,0.08022388059701492
765,600808.SH,0.08022388059701492
100,002003.SZ,0.08012820512820512
11,600376.SH,0.0783289817232376
51,002394.SZ,0.07820646506777894
298,002394.SZ,0.07820646506777894
46,600019.SH,0.0774526678141136
255,603328.SH,0.07726864330637914
27,603328.SH,0.07726864330637914
75,002756.SZ,0.07496251874062969
10,600873.SH,0.0744920993227991
97,000898.SZ,0.07435897435897434
591,300509.SZ,0.07416563658838071
281,603788.SH,0.07396449704142012
25,001872.SZ,0.0738521836506159
120,002233.SZ,0.07354443309499491
268,002233.SZ,0.07354443309499491
35,600104.SH,0.0729665071770335
181,600527.SH,0.07246376811594203
28,600688.SH,0.07109004739336494
23,000581.SZ,0.0709639266706091
180,000513.SZ,0.06993006993006994
486,603358.SH,0.0698967434471803
