,代号,名字,占净值比例,持股数(万股),持仓市值(万元)
0,600519,贵州茅台,8.88%,0.35,341.15
1,000651,格力电器,4.73%,3.30,181.76
2,000333,美的集团,4.31%,3.19,165.53
3,000858,五粮液,4.13%,1.35,158.71
4,600887,伊利股份,3.66%,4.21,140.70
5,600276,恒瑞医药,3.66%,2.13,140.63
6,300498,温氏股份,2.41%,2.58,92.52
7,600104,上汽集团,1.60%,2.42,61.60
8,601888,中国国旅,1.56%,0.68,59.89
9,603288,海天味业,1.53%,0.56,58.80
10,600009,上海机场,1.45%,0.66,55.66
11,002304,洋河股份,1.30%,0.41,50.11
12,300059,东方财富,1.30%,3.69,50.03
13,600690,海尔智家,1.11%,2.47,42.67
14,002952,亚世光电,1.11%,1.37,42.53
15,000568,泸州老窖,1.07%,0.51,40.93
16,600050,中国联通,1.02%,6.37,39.23
17,002027,分众传媒,0.97%,7.08,37.44
18,002714,牧原股份,0.90%,0.59,34.57
19,002230,科大讯飞,0.87%,1.01,33.49
20,601006,大秦铁路,0.83%,3.96,32.01
21,002594,比亚迪,0.82%,0.62,31.52
22,000661,长春高新,0.79%,0.09,30.52
23,600570,恒生电子,0.78%,0.44,30.13
24,000538,云南白药,0.78%,0.36,29.79
25,002024,苏宁易购,0.74%,2.48,28.48
26,300015,爱尔眼科,0.69%,0.85,26.34
27,601933,永辉超市,0.68%,2.54,25.96
28,000876,新希望,0.64%,1.40,24.40
29,600436,片仔癀,0.62%,0.21,23.88
30,300142,沃森生物,0.62%,0.84,23.82
31,600588,用友网络,0.60%,0.85,22.97
32,000100,TCL集团,0.59%,6.76,22.52
33,601111,中国国航,0.49%,1.97,18.82
34,600438,通威股份,0.48%,1.30,18.28
35,600196,复星医药,0.46%,0.70,17.67
36,002422,科伦药业,0.46%,0.59,17.54
37,002405,四维图新,0.46%,1.08,17.39
38,600029,南方航空,0.45%,2.26,17.46
39,002007,华兰生物,0.45%,0.57,17.25
40,002001,新和成,0.45%,0.89,17.17
41,002311,海大集团,0.44%,0.55,17.00
42,000895,双汇发展,0.44%,0.68,16.98
43,300003,乐普医疗,0.44%,0.73,16.80
44,000860,顺鑫农业,0.44%,0.36,16.79
45,600872,中炬高新,0.43%,0.39,16.70
46,600332,白云山,0.42%,0.39,16.04
47,600115,东方航空,0.41%,2.52,15.83
48,002044,美年健康,0.41%,1.26,15.70
49,000963,华东医药,0.41%,0.60,15.64
50,002410,广联达,0.40%,0.47,15.46
51,600221,海航控股,0.38%,7.28,14.77
52,300033,同花顺,0.38%,0.15,14.75
53,600177,雅戈尔,0.38%,2.30,14.59
54,600018,上港集团,0.38%,2.12,14.47
55,601607,上海医药,0.38%,0.79,14.42
