,代码,名称,行业,质押比例(%),质押股数(万股),质押市值(亿元),质押笔数,无限售股质押数(股),限售股质押数(股),近年来涨跌幅(%),日期
0,600886,国投电力,电力行业,0,12.82,118.7132,10,12.82,0,31.61791507,2019-09-12T00:00:00
1,600884,杉杉股份,电子元件,0,2.76,31.5192,12,2.76,0,-24.97756594,2019-09-12T00:00:00
2,600887,伊利股份,食品饮料,8.09,49340.95,1467893.2625,107,49340.95,0,32.63439986,2019-09-12T00:00:00
3,600882,妙可蓝多,食品饮料,18.66,7638.87,116874.711,3,7638.87,0,88.88888759,2019-09-12T00:00:00
4,600879,航天电子,航天航空,0,1.98,13.2066,11,1.98,0,-0.74404762,2019-09-12T00:00:00
5,600881,亚泰集团,水泥建材,13.8,44828.45,142554.471,11,42275.26,2553.19,-9.14285714,2019-09-12T00:00:00
6,600880,博瑞传播,文化传媒,0,1.85,7.067,5,1.85,0,4.3715847,2019-09-12T00:00:00
7,600876,洛阳玻璃,玻璃陶瓷,18.58,5755.79,63601.4795,3,5755.79,0,-17.4757282,2019-09-12T00:00:00
8,600874,创业环保,公用事业,0,1.59,12.1953,14,1.59,0,-3.71349319,2019-09-12T00:00:00
9,600870,ST厦华,电子信息,39.19,20505.09,77099.1384,14,20505.09,0,57.98319285,2019-09-12T00:00:00
10,600869,智慧能源,输配电气,52.55,116628.83,574980.1319,32,116628.83,0,9.55555556,2019-09-12T00:00:00
11,600873,梅花生物,食品饮料,18.8,58366.03,266149.0968,15,58366.03,0,24.19912943,2019-09-12T00:00:00
12,600872,中炬高新,食品饮料,24.63,19622,781544.26,5,19622,0,36.82010562,2019-09-12T00:00:00
13,600864,哈投股份,券商信托,0.5,1034,7858.4,2,1034,0,86.73218672,2019-09-12T00:00:00
14,600865,百大集团,商业百货,0.01,3.02,18.3616,32,3.02,0,0.90239393,2019-09-12T00:00:00
15,600867,通化东宝,医药制造,37.74,76755.11,1420737.0861,91,76755.11,0,8.89275265,2019-09-12T00:00:00
16,600868,梅雁吉祥,电力行业,0,0.06,0.2184,6,0.06,0,23.80952381,2019-09-12T00:00:00
17,600866,星湖科技,食品饮料,11.27,8328,41390.16,20,8328,0,26.14213199,2019-09-12T00:00:00
18,600858,银座股份,商业百货,0.01,6.3,31.5,2,6.3,0,-2.47696325,2019-09-12T00:00:00
19,600862,中航高科,航天航空,0,0.3,3.243,2,0.3,0,83.42844864,2019-09-12T00:00:00
20,600859,王府井,商业百货,11.25,8732.59,132910.0198,1,8732.59,0,5.19454258,2019-09-12T00:00:00
21,600860,京城股份,机械行业,0.17,55.72,348.8072,1,55.72,0,29.87551869,2019-09-12T00:00:00
22,600863,内蒙华电,电力行业,20.06,116514.75,374012.3475,6,116514.75,0,49.18489922,2019-09-12T00:00:00
23,600853,龙建股份,工程建设,13.89,11635.35,39443.8365,2,11635.35,0,20.81848376,2019-09-12T00:00:00
24,600850,华东电脑,电子信息,0,0.16,4.4384,3,0.16,0,41.21708559,2019-09-12T00:00:00
25,600848,上海临港,房地产,0.77,1391.12,38325.356,5,391.12,1000,27.5832617,2019-09-12T00:00:00
