,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma2,ma_v_2,ma3,ma_v_3,ma4,ma_v_4,ma5,ma_v_5,ma8,ma_v_8,ma10,ma_v_10,ma15,ma_v_15,ma20,ma_v_20
0,20190830,002730.SZ,7.5,7.55,7.3,7.36,7.49,-0.13,-1.7356,8047.0,5991.091,0.277,0.74,7.425,7951.5,7.44,7991.0,7.4575,10540.605,7.452,10610.156,7.4437,9873.7725,7.443,10255.834,7.386,9789.6627,7.358,9380.1145
1,20190829,002730.SZ,7.47,7.54,7.43,7.49,7.47,0.02,0.2677,7856.0,5892.09,0.2704,0.71,7.48,7963.0,7.49,11371.8067,7.475,11250.945,7.464,10817.276,7.4537,10075.1475,7.434,10220.694,7.3693,9824.4627,7.377,9403.5665
2,20190828,002730.SZ,7.5,7.51,7.44,7.47,7.51,-0.04,-0.5326,8070.0,6033.409,0.2778,0.73,7.49,13129.71,7.47,12382.5933,7.4575,11557.595,7.454,10998.476,7.4475,10831.9175,7.409,10211.294,7.3547,9823.196,7.3935,10074.194
3,20190827,002730.SZ,7.43,7.55,7.42,7.51,7.43,0.08,1.0767,18189.42,13617.138,0.6261,1.96,7.47,14538.89,7.4533,12720.1267,7.45,11730.595,7.446,11003.436,7.4225,10785.1175,7.39,10302.114,7.336,9730.4327,7.42,10893.7115
4,20190826,002730.SZ,7.39,7.43,7.05,7.43,7.42,0.01,0.1348,10888.36,7983.558,0.3748,1.1,7.425,9985.48,7.43,9577.6533,7.43,9206.94,7.432,9297.152,7.3887,9481.69,7.359,9369.372,7.314,9278.9513,7.441,10263.2355
5,20190823,002730.SZ,7.44,7.45,7.34,7.42,7.44,-0.02,-0.2688,9082.6,6715.715,0.3127,0.94,7.43,8922.3,7.43,8646.4667,7.4325,8899.35,7.434,9901.512,7.37,9242.92,7.353,9379.416,7.3267,8970.1007,7.464,9918.75
6,20190822,002730.SZ,7.45,7.45,7.34,7.44,7.43,0.01,0.1346,8762.0,6479.969,0.3016,0.93,7.435,8428.4,7.4367,8838.2667,7.4375,10106.24,7.404,9624.112,7.3425,9215.345,7.322,9328.056,7.348,8932.33,7.4875,9727.845
7,20190821,002730.SZ,7.45,7.49,7.41,7.43,7.44,-0.01,-0.1344,8094.8,6024.93,0.2787,0.84,7.435,8876.4,7.4367,10554.32,7.395,9839.64,7.364,9424.112,7.3337,9493.695,7.305,9235.556,7.3733,9766.1,7.509,9593.345
8,20190820,002730.SZ,7.43,7.5,7.42,7.44,7.44,0.0,0.0,9658.0,7198.398,0.3325,1.02,7.44,11784.08,7.3833,10421.2533,7.3475,9756.44,7.334,9600.792,7.2937,9552.97,7.281,9093.931,7.4113,10857.1367,7.535,9704.29
9,20190819,002730.SZ,7.38,7.45,7.28,7.44,7.27,0.17,2.3384,13910.16,10274.118,0.4788,1.57,7.355,10802.88,7.3167,9789.2533,7.3075,9586.49,7.286,9441.592,7.2725,9325.345,7.255,9269.851,7.444,10585.2633,7.557,9493.059
10,20190816,002730.SZ,7.2,7.35,7.2,7.27,7.24,0.03,0.4144,7695.6,5616.866,0.2649,0.85,7.255,7728.8,7.2633,8145.2667,7.2475,8324.45,7.272,8857.32,7.2412,8421.3938,7.273,8504.395,7.474,9924.496,7.576,9449.892
11,20190815,002730.SZ,7.21,7.25,7.06,7.24,7.28,-0.04,-0.5495,7762.0,5554.061,0.2672,0.86,7.26,8370.1,7.24,8534.0667,7.2725,9147.75,7.24,9032.0,7.23,8886.5938,7.32,8586.439,7.5153,9762.4227,7.607,9374.243
12,20190814,002730.SZ,7.29,7.36,7.26,7.28,7.2,0.08,1.1111,8978.2,6565.87,0.3091,1.05,7.24,8920.1,7.2833,9609.6667,7.24,9349.5,7.246,9047.0,7.2775,8698.2938,7.378,9937.094,7.5573,9649.756,7.638,9623.793
