,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma2,ma_v_2,ma3,ma_v_3,ma4,ma_v_4,ma5,ma_v_5,ma8,ma_v_8,ma10,ma_v_10,ma15,ma_v_15,ma20,ma_v_20
0,20190830,603917.SH,10.46,10.54,10.13,10.18,10.44,-0.26,-2.4904,15321.8,15807.833,1.9091,0.99,10.31,14859.3,10.37,15709.4,10.42,16644.1,10.396,16651.706,10.3825,14598.3663,10.375,14907.166,10.2847,12872.5993,10.256,12204.258
1,20190829,603917.SH,10.5,10.55,10.43,10.44,10.49,-0.05,-0.4766,14396.8,15088.899,1.7938,0.95,10.465,15903.2,10.5,17084.8667,10.45,16984.1825,10.426,15453.666,10.4062,14588.1163,10.366,14541.655,10.276,12382.466,10.28,12023.6515
2,20190828,603917.SH,10.57,10.71,10.48,10.49,10.57,-0.08,-0.7569,17409.6,18371.177,2.1692,1.25,10.53,18428.9,10.4533,17846.6433,10.4225,15717.8825,10.422,15233.066,10.3912,14919.1325,10.324,14515.219,10.256,12055.2107,10.3005,11759.716
3,20190827,603917.SH,10.36,10.57,10.34,10.57,10.3,0.27,2.6214,19448.2,20384.296,2.4232,1.49,10.435,18065.165,10.4,15153.9767,10.405,14688.9325,10.39,13931.746,10.3413,14201.2688,10.288,13508.899,10.2273,11532.0507,10.3195,11302.346
4,20190826,603917.SH,10.12,10.48,10.02,10.3,10.33,-0.03,-0.2904,16682.13,17245.61,2.0786,1.27,10.315,13006.865,10.35,13102.51,10.345,12552.6325,10.35,13090.066,10.2725,13536.7988,10.243,12081.859,10.1947,11202.5307,10.337,10834.1405
5,20190823,603917.SH,10.4,10.47,10.29,10.33,10.42,-0.09,-0.8637,9331.6,9661.013,1.1627,0.68,10.375,11312.7,10.36,11176.1333,10.3625,12192.05,10.354,13162.626,10.2513,12369.8325,10.229,10983.046,10.2093,10721.7753,10.366,10351.034
6,20190822,603917.SH,10.37,10.46,10.31,10.42,10.33,0.09,0.8712,13293.8,13801.57,1.6564,0.96,10.375,12098.4,10.3733,13145.5333,10.36,14120.3825,10.306,13629.644,10.225,11850.6075,10.201,10846.866,10.2313,10880.3133,10.392,10250.164
7,20190821,603917.SH,10.37,10.39,10.28,10.33,10.37,-0.04,-0.3857,10903.0,11263.807,1.3585,0.83,10.35,13071.4,10.34,14395.91,10.2775,13713.605,10.226,13797.372,10.1925,10900.6325,10.173,10466.283,10.26,10601.9327,10.417,10028.954
8,20190820,603917.SH,10.34,10.41,10.31,10.37,10.32,0.05,0.4845,15239.8,15786.403,1.8989,1.38,10.345,16142.365,10.26,14650.4733,10.2,14520.965,10.186,13086.052,10.1575,10533.9825,10.146,10332.203,10.296,10425.8793,10.444,9893.014
9,20190819,603917.SH,10.11,10.34,10.11,10.32,10.09,0.23,2.2795,17044.93,17472.157,2.1238,1.94,10.205,14355.81,10.1433,14281.3533,10.14,12547.615,10.136,11073.652,10.1288,9815.0038,10.117,10258.763,10.3327,10082.1653,10.4645,9464.954
10,20190816,603917.SH,10.02,10.13,9.99,10.09,10.02,0.07,0.6986,11666.69,11765.507,1.4536,1.45,10.055,12899.565,10.08,11048.51,10.09,9580.8325,10.104,8803.466,10.0963,8879.6625,10.137,9501.35,10.37,9413.8367,10.484,9270.2175
11,20190815,603917.SH,10.0,10.07,9.89,10.02,10.13,-0.11,-1.0859,14132.44,14076.401,1.7609,1.98,10.075,10739.42,10.09,8885.5467,10.1075,8087.66,10.096,8064.088,10.095,9234.5013,10.194,9505.648,10.4207,9123.6707,10.533,9163.103
12,20190814,603917.SH,10.23,10.24,10.11,10.13,10.12,0.01,0.0988,7346.4,7481.391,0.9153,0.97,10.125,6262.1,10.1367,6072.7333,10.115,6547.0,10.12,7135.194,10.1575,8651.7963,10.277,9004.213,10.4807,8772.8147,10.582,8978.399
13,20190813,603917.SH,10.11,10.14,10.03,10.12,10.16,-0.04,-0.3937,5177.8,5224.476,0.6451,0.55,10.14,5435.9,10.11,6280.5333,10.1175,7082.3925,10.106,7578.354,10.2238,9197.205,10.351,9095.793,10.53,8828.668,10.6435,9308.869
14,20190812,603917.SH,10.06,10.18,9.99,10.16,10.05,0.11,1.0945,5694.0,5750.435,0.7095,0.56,10.105,6831.9,10.1167,7717.2567,10.1025,8178.4925,10.098,9443.874,10.315,9689.7413,10.431,9586.422,10.574,8928.7213,10.7045,9585.099
15,20190809,603917.SH,10.18,10.26,9.99,10.05,10.14,-0.09,-0.8876,7969.8,8077.736,0.993,0.73,10.095,8728.885,10.0833,9006.6567,10.0825,10381.3425,10.17,10199.234,10.4038,10010.7663,10.503,9719.022,10.6107,9425.8013,10.7595,9984.7485
16,20190808,603917.SH,10.09,10.22,10.09,10.14,10.06,0.08,0.7952,9487.97,9638.356,1.1822,0.87,10.1,9525.085,10.0933,11185.19,10.2,10756.5925,10.292,10947.208,10.5125,10275.0525,10.583,9653.462,10.6787,9529.4413,10.8155,10130.557
17,20190807,603917.SH,10.16,10.27,9.98,10.06,10.08,-0.02,-0.1984,9562.2,9724.226,1.1914,0.9,10.07,12033.8,10.22,11179.4667,10.33,11312.0175,10.434,10873.232,10.605,9966.5562,10.661,9591.625,10.736,9592.8007,10.861,10274.7765
18,20190806,603917.SH,10.2,10.32,9.9,10.08,10.52,-0.44,-4.1825,14505.4,14670.085,1.8073,1.49,10.3,11988.1,10.42,11895.29,10.5275,11200.99,10.596,10613.232,10.7037,9685.5562,10.742,9453.825,10.8227,9885.7073,10.911,10627.4465
19,20190805,603917.SH,10.67,10.72,10.51,10.52,10.66,-0.14,-1.3133,9470.8,10037.989,1.18,1.03,10.59,10590.235,10.6767,10099.52,10.725,9640.19,10.764,9728.97,10.8087,8981.0813,10.812,8671.145,10.9067,9632.174,10.965,10580.1265
20,20190802,603917.SH,10.67,10.7,10.57,10.66,10.85,-0.19,-1.7512,11709.67,12464.179,1.459,1.4,10.755,10413.88,10.7933,9696.6533,10.825,9793.5125,10.836,9238.81,10.8525,8820.2563,10.831,9039.085,10.956,9913.2533,11.0025,11189.195
21,20190801,603917.SH,10.81,10.87,10.7,10.85,10.87,-0.02,-0.184,9118.09,9841.033,1.1361,1.1,10.86,8690.145,10.88,9154.7933,10.88,8621.095,10.874,8359.716,10.8675,8191.3725,10.872,8820.558,10.99,9858.34,11.0615,11211.9815
22,20190731,603917.SH,10.88,10.96,10.8,10.87,10.92,-0.05,-0.4579,8262.2,8986.398,1.0295,1.0,10.895,9173.145,10.89,8455.43,10.88,8170.1225,10.888,8310.018,10.85,8695.3863,10.887,8952.585,11.0033,10075.2913,11.105,11450.177
23,20190730,603917.SH,10.88,11.05,10.85,10.92,10.88,0.04,0.3676,10084.09,11051.056,1.2565,1.32,10.9,8552.045,10.8833,8139.43,10.8925,8321.9725,10.888,8294.418,10.875,8853.1613,10.936,9521.945,11.016,10632.1847,11.1525,11814.017
24,20190729,603917.SH,10.85,10.93,10.81,10.88,10.85,0.03,0.2765,7020.0,7628.233,0.8747,0.79,10.865,7167.1,10.8833,7734.6,10.88,7847.0,10.86,7613.32,10.885,8897.445,10.978,9583.776,11.032,10863.8453,11.2035,12107.9225
25,20190726,603917.SH,10.93,10.93,10.8,10.85,10.92,-0.07,-0.641,7314.2,7937.786,0.9113,0.79,10.885,8091.9,10.88,8122.6667,10.855,7761.65,10.826,8839.36,10.945,9764.42,11.016,10250.475,11.058,11839.3233,11.2545,12679.5125
