,trade_date,ggt_ss,ggt_sz,hgt,sgt,north_money,south_money
0,20180213,,,38.2700000000004,-839.459999999999,-801.189999999999,0.0
1,20180212,4031.0,1184.0,-1222.33,109.549999999999,-1112.78,5215.0
2,20180209,1219.0,-715.0,-2001.0,-467.0,-2468.0,504.0
3,20180208,1527.0,104.0,1348.33,1712.55,3060.88,1631.0
4,20180207,-372.0,-496.0,-158.690000000001,1961.18,1802.49,-868.0
5,20180206,7007.0,1014.0,-7366.15,-2298.03,-9664.18,8021.0
6,20180205,7550.0,2686.0,-3431.79,165.719999999999,-3266.07,10236.0
7,20180202,4213.0,1188.0,-1159.0,1175.0,16.0,5401.0
8,20180201,1870.0,463.0,-784.48,1213.53,429.05,2333.0
9,20180131,4962.0,1147.0,-208.559999999999,356.18,147.620000000001,6109.0
10,20180130,2158.0,1296.0,-169.52,701.299999999999,531.779999999999,3454.0
11,20180129,2949.0,1809.0,-430.01,-283.18,-713.19,4758.0
12,20180126,1923.0,1551.0,2038.0,1143.0,3181.0,3474.0
13,20180125,2365.0,455.0,1490.03,984.32,2474.35,2820.0
14,20180124,2020.0,1957.0,-549.84,979.790000000001,429.950000000001,3977.0
15,20180123,4031.0,2271.0,2509.31,348.6,2857.91,6302.0
16,20180122,4706.0,1530.0,1147.11,1237.07,2384.18,6236.0
17,20180119,4401.0,1846.0,373.0,844.0,1217.0,6247.0
18,20180118,3994.0,2232.0,1359.99,633.75,1993.74,6226.0
19,20180117,2682.0,1317.0,-293.26,-350.91,-644.17,3999.0
20,20180116,1318.0,644.0,948.549999999999,1587.98,2536.53,1962.0
21,20180115,1210.0,1005.0,-1648.93,8.72999999999956,-1640.2,2215.0
22,20180112,1895.0,1067.0,1592.0,693.0,2285.0,2962.0
23,20180111,1178.0,593.0,-77.0300000000007,312.57,235.539999999999,1771.0
24,20180110,3487.0,423.0,1407.62,319.559999999999,1727.18,3910.0
25,20180109,2474.0,1261.0,1472.11,1603.99,3076.1,3735.0
26,20180108,2611.0,1101.0,744.74,1180.74,1925.48,3712.0
27,20180105,1916.0,745.0,1038.0,1568.0,2606.0,2661.0
28,20180104,2767.0,1242.0,2816.62,1702.95,4519.57,4009.0
29,20180103,1920.0,1163.0,2692.35,1937.38,4629.73,3083.0
30,20180102,2283.0,1411.0,2113.22,1399.9,3513.12,3694.0
31,20171229,2347.0,1341.0,871.0,770.0,1641.0,3688.0
32,20171228,1524.0,826.0,1592.17,1464.13,3056.3,2350.0
33,20171227,990.0,666.0,798.190000000001,130.120000000001,928.310000000002,1656.0
34,20171222,1057.0,589.0,,,0.0,1646.0
35,20171221,1793.0,881.0,739.52,623.959999999999,1363.48,2674.0
36,20171220,-135.0,-214.0,-517.129999999999,-281.83,-798.959999999999,-349.0
37,20171219,-407.0,195.0,908.59,801.59,1710.18,-212.0
38,20171218,352.0,385.0,1544.43,442.26,1986.69,737.0
39,20171215,1932.0,1058.0,-1065.0,-1459.0,-2524.0,2990.0
40,20171214,1081.0,787.0,248.0,461.280000000001,709.280000000001,1868.0
